0.000000000000000e+00 5.126406567357843e-02 3.125969280162029e-03
1.111111111111111e-01 5.354398033773032e-02 9.689573026786429e-04
2.222222222222222e-01 5.341189213646705e-02 -1.165112735432384e-03
3.333333333333333e-01 5.093312830914391e-02 -3.204273264573508e-03
4.444444444444444e-01 4.625351230021311e-02 -5.077433965780666e-03
5.555555555555556e-01 3.959697170352301e-02 -6.717165409720326e-03
6.666666666666666e-01 3.125984168198654e-02 -8.062711047190814e-03
7.777777777777778e-01 2.160172694209697e-02 -9.062985105526555e-03
8.888888888888888e-01 1.103308436831330e-02 -9.679285166722715e-03
1.000000000000000e+00 6.831652493842363e-17 -9.887456003242730e-03
