0.000000000000000e+00 0.000000000000000e+00 4.999999999999997e-01
5.000000000000000e-02 3.100659925135219e-03 4.983196620073359e-01
1.000000000000000e-01 6.173113246849344e-03 4.932990057945383e-01
1.500000000000000e-01 9.185192995596850e-03 4.849886698059421e-01
2.000000000000000e-01 1.211061605121593e-02 4.734850562233527e-01
2.500000000000000e-01 1.492178071252456e-02 4.589088802248436e-01
3.000000000000000e-01 1.759285422707398e-02 4.414152693913768e-01
3.500000000000000e-01 2.010296262283219e-02 4.211943073516484e-01
4.000000000000000e-01 2.243108235168594e-02 3.984564105222603e-01
4.500000000000000e-01 2.456067863893982e-02 3.734396120857108e-01
5.000000000000000e-01 2.647778360013214e-02 3.464007125539587e-01
5.500000000000000e-01 2.817181214880343e-02 3.176133713623424e-01
6.000000000000001e-01 2.963545423158068e-02 2.873637306164364e-01
6.500000000000000e-01 3.086467427192144e-02 2.559465458287896e-01
7.000000000000001e-01 3.185861702542234e-02 2.236611959375344e-01
7.500000000000000e-01 3.261945140309247e-02 1.908078068862509e-01
8.000000000000000e-01 3.315215758268591e-02 1.576835255343572e-01
8.500000000000001e-01 3.346426633646257e-02 1.245790203179016e-01
9.000000000000000e-01 3.356556049154356e-02 9.177526664493758e-02
9.500000000000001e-01 3.346774926718908e-02 5.954066605052798e-02
1.000000000000000e+00 3.318412664348516e-02 2.812853712935613e-02
1.050000000000000e+00 3.272922490622862e-02 -2.224996691315539e-03
1.100000000000000e+00 3.211847410850084e-02 -3.130271041055681e-02
1.150000000000000e+00 3.136787739646404e-02 -5.890757291918655e-02
1.200000000000000e+00 3.049371100615809e-02 -8.486364862527759e-02
1.250000000000000e+00 2.951225629616366e-02 -1.090166310482145e-01
1.300000000000000e+00 2.843956949931987e-02 -1.312340445906263e-01
1.350000000000000e+00 2.729129302560819e-02 -1.514051591999532e-01
1.400000000000000e+00 2.608251020516172e-02 -1.694406688617456e-01
1.450000000000000e+00 2.482764340601960e-02 -1.852721885446134e-01
1.500000000000000e+00 2.354039357673324e-02 -1.988516251760285e-01
1.550000000000000e+00 2.223371752693274e-02 -2.101504764266804e-01
1.600000000000000e+00 2.091983774042166e-02 -2.191591066070865e-01
1.650000000000000e+00 1.961027827647034e-02 -2.258860420512687e-01
1.700000000000000e+00 1.831591940444449e-02 -2.303573193177158e-01
1.750000000000000e+00 1.704706306902513e-02 -2.326159088242271e-01
1.800000000000000e+00 1.581350111642318e-02 -2.327212246847265e-01
1.850000000000000e+00 1.462457842805674e-02 -2.307487191296605e-01
1.900000000000000e+00 1.348924369259015e-02 -2.267895475987334e-01
1.950000000000000e+00 1.241608146991349e-02 -2.209502790315631e-01
2.000000000000000e+00 1.141332041736730e-02 -2.133526156584811e-01
2.050000000000000e+00 1.048881400315724e-02 -2.041330782649685e-01
2.100000000000000e+00 9.649991658936513e-03 -1.934426069419317e-01
2.150000000000000e+00 8.903780051002869e-03 -1.814460241083217e-01
2.200000000000000e+00 8.256495902190714e-03 -1.683213063480956e-01
2.250000000000000e+00 7.713713498920971e-03 -1.542586144513891e-01
2.300000000000000e+00 7.280111597524841e-03 -1.394590369608426e-01
2.350000000000000e+00 6.959305834217333e-03 -1.241330113293468e-01
2.400000000000000e+00 6.753673885607381e-03 -1.084983981929273e-01
2.450000000000000e+00 6.664181473530234e-03 -9.277819782917654e-02
2.500000000000000e+00 6.690217823420469e-03 -7.719791308121804e-02
2.550000000000000e+00 6.829449346782229e-03 -6.198257927145959e-02
2.600000000000000e+00 7.077700116631419e-03 -4.735349824300683e-02
2.650000000000000e+00 7.428867144985474e-03 -3.352472995384523e-02
2.700000000000000e+00 7.874877571731415e-03 -2.069941031158778e-02
2.750000000000000e+00 8.405693665232833e-03 -9.065977501808486e-03
2.800000000000000e+00 9.009370058606941e-03 1.205599690089071e-03
2.850000000000000e+00 9.672165953172135e-03 9.967489679072017e-03
2.900000000000000e+00 1.037871317123182e-02 1.709745504167878e-02
2.950000000000000e+00 1.111223899894032e-02 2.250199023667707e-02
3.000000000000000e+00 1.185484079490079e-02 2.611903407610244e-02
3.050000000000000e+00 1.258780742098795e-02 2.792015721874749e-02
3.100000000000000e+00 1.329198074754859e-02 2.791213503754197e-02
3.150000000000000e+00 1.394814886119156e-02 2.613782985367805e-02
3.200000000000000e+00 1.453746122033350e-02 2.267632335723549e-02
3.250000000000000e+00 1.504185491463775e-02 1.764225954033335e-02
3.300000000000000e+00 1.544448043352151e-02 1.118438003439801e-02
3.350000000000000e+00 1.573011496925442e-02 3.483256654508077e-03
3.400000000000000e+00 1.588555129286062e-02 -5.251750571316854e-03
3.450000000000000e+00 1.589995065386385e-02 -1.478625839434386e-02
3.500000000000000e+00 1.576514896164699e-02 -2.486527474135583e-02
3.550000000000000e+00 1.547590668642138e-02 -3.521816867448435e-02
3.600000000000000e+00 1.503009443706130e-02 -4.556408450623031e-02
3.650000000000000e+00 1.442880798375462e-02 -5.561767441397539e-02
3.700000000000000e+00 1.367640853601068e-02 -6.509501352077679e-02
3.750000000000000e+00 1.278048629165902e-02 -7.371955530796059e-02
3.800000000000000e+00 1.175174756303392e-02 -8.122798364421682e-02
3.850000000000000e+00 1.060382808094182e-02 -8.737582072414235e-02
3.900000000000000e+00 9.353037292092942e-03 -9.194265769383089e-02
3.950000000000000e+00 8.018040520246711e-03 -9.473688641091471e-02
4.000000000000000e+00 6.619487679472194e-03 -9.559982618256446e-02
4.050000000000000e+00 5.179598742474339e-03 -9.440915784002693e-02
4.100000000000001e+00 3.721717322271889e-03 -9.108159841304145e-02
4.150000000000000e+00 2.269844480233929e-03 -8.557477214309864e-02
4.200000000000000e+00 8.481652022157282e-04 -7.788825674982781e-02
4.250000000000000e+00 -5.194201208073290e-04 -6.806380685556848e-02
4.300000000000000e+00 -1.809747401097184e-03 -5.618477842230603e-02
4.350000000000001e+00 -3.000812872609449e-03 -4.237479817082583e-02
4.400000000000000e+00 -4.072159823224494e-03 -2.679573954236196e-02
4.450000000000000e+00 -5.005220024975013e-03 -9.645081265658564e-03
4.500000000000000e+00 -5.783603656613082e-03 8.847264403776645e-03
4.550000000000000e+00 -6.393333475580548e-03 2.842255944520695e-02
4.600000000000001e+00 -6.823021029810195e-03 4.879718606402941e-02
4.650000000000000e+00 -7.063984720326169e-03 6.966683341716412e-02
4.700000000000000e+00 -7.110311452023801e-03 9.071083131426458e-02
4.750000000000000e+00 -6.971742632523641e-03 1.117482401319833e-01
4.800000000000001e+00 -6.545149792649613e-03 1.311248792417110e-01
4.850000000000001e+00 -6.197207446014916e-03 1.535288620565287e-01
4.900000000000000e+00 -5.172763214503575e-03 1.672434584458301e-01
4.950000000000000e+00 -4.539150899637773e-03 1.890669607288837e-01
5.000000000000000e+00 -3.013773606118007e-03 1.947541397249766e-01
